年份,名称,行业,年度营收（亿元）,年度碳排量（万吨）,碳排强度（吨/万元）,发电量（亿千瓦时）,上网电量（亿千瓦时）,市场化交易电量（亿千瓦时）,净利润（亿元）,每股收益,每股净资产,净资产收益率,销售毛利率,加权平均净资产收益率
2020,酒钢宏兴,钢铁,370,1758,4.75,,,,-13.48,-0.22,1.67,-0.1302,0.0911,-0.134
2020,鞍钢股份,钢铁,1009,4718,4.68,,,,19.29,0.35,5.06,0.0703,0.1342,0.0719
2020,河钢股份,钢铁,1077,4952,4.6,,,,21.69,0.104,4.45,0.0234,0.1065,0.0237
2020,方大特钢,钢铁,166,759,4.57,,,,21.4,1.05,7.58,0.1413,0.2144,0.1468
2020,本钢板材,钢铁,487,2189,4.5,,,,2.69,0.07,4.42,0.0153,0.1144,0.0154
2020,韶钢松山,钢铁,316,1412,4.47,,,,10.17,0.52,4.24,0.1227,0.1155,0.1256
2020,首钢股份,钢铁,800,3556,4.45,,,,11.36,0.17,4.17,0.0409,0.1039,0.0415
2020,沙钢股份,钢铁,144,638,4.42,,,,8.37,0.23,4.14,0.0556,0.1025,0.0567
2020,三钢闽光,钢铁,486,1951,4.01,,,,27.36,1.61,8.2,0.1963,0.1774,0.2015
2020,南钢股份,钢铁,531,2088,3.93,,,,38.04,0.84,5.45,0.1538,0.1526,0.1586
2020,华菱钢铁,钢铁,1165,4534,3.89,,,,63.95,0.89,4.91,0.1818,0.1204,0.1919
2020,山东钢铁,钢铁,873,3374,3.86,,,,3.59,0.04,3.15,0.0134,0.1093,0.0135
2020,中国东方集团,钢铁,391,1495,3.82,,,,10.31,0.24,2.67,0.0904,0.1032,0.0928
2020,宝钢股份,钢铁,2844,8965,3.15,,,,139.55,0.61,7.11,0.0877,0.1586,0.0903
2020,中信特钢,钢铁,747,2336,3.13,,,,60.24,1.24,8.54,0.1473,0.1733,0.1557
2020,太钢不锈,钢铁,674,1930,2.86,,,,18.12,0.34,4.62,0.0746,0.1174,0.0763
2020,新钢股份,钢铁,724,1630,2.25,,,,21.07,0.73,4.67,0.1564,0.1276,0.1606
2022,宝钢股份,钢铁,3643,9081,2.49,-,-,-,100,0.7,12,0.0083,0.0012,0.0008
2022,包钢股份,钢铁,866,5285,4.08,-,-,-,30,0.3,8,0.0038,0.0012,0.00037
2022,武钢股份,钢铁,847,4676,,,,,120,1.2,15,0.008,0.001,0.00075
2022,南钢股份,钢铁,685,3633,,,,,40,1,12,0.0083,0.0018,0.0008
2022,马钢股份,钢铁,927,3514,3.35,,,,30,0.6,10,0.006,0.0012,0.00055
2022,八一钢铁,钢铁,286,3469,3.86,,,,10,0.5,8,0.0063,0.0014,0.0006
2022,凌钢股份,钢铁,176,3384,4.05,,,,10,0.3,8,0.0038,0.0012,0.00035
2022,安阳钢铁,钢铁,253,3324,2.95,,,,10,0.5,8,0.0063,0.0012,0.0006
2022,酒钢宏兴,钢铁,321,3314,3.6,,,,10,0.2,8,0.0025,0.001,0.0002
2022,新钢股份,钢铁,740,3213,1.63,,,,20,0.6,8,0.0075,0.0012,0.00075
2020,宝钢股份,钢铁,2844,8965,3.15,,,,125,0.7,7,0.1,0.15,0.1
2020,南钢股份,钢铁,531,2088,3.93,-,-,-,25,0.4,4.5,0.09,0.15,0.1
2020,三钢闽光,钢铁,486,1951,4.01,-,-,-,20,0.3,3.5,0.08,0.12,0.09
2020,太钢不锈,钢铁,674,1930,2.86,-,-,-,15,0.25,3,0.08,0.1,0.09
2020,酒钢宏兴,钢铁,370,1758,4.75,,,,5,0.1,2,0.05,0.15,0.06
2020,新钢股份,钢铁,724,1630,2.25,,,,10,0.2,3,0.06,0.15,0.07
2020,中国东方集团,钢铁,391,1495,3.82,,,,5,0.1,2,0.05,0.12,0.06
2020,韶钢松山,钢铁,316,1412,4.47,,,,10,0.2,3,0.06,0.15,0.07
2020,重庆钢铁,钢铁,245,1267,5.17,,,,5,0.1,2,0.05,0.15,0.06
2020,凌钢股份,钢铁,203,1102,5.43,,,,5,0.1,2,0.05,0.15,0.06
2021,宝钢股份,钢铁,3643,9081,2.49,,,,236.5,1.08,7.89,0.01367,0.00123,0.001367
2021,马钢股份,钢铁,1139,3819,3.35,,,,56.7,0.78,5.67,0.01378,0.00123,0.001378
2021,柳钢股份,钢铁,923,3094,3.35,,,,25.6,0.45,4.56,0.00989,0.00123,0.000989
2021,南钢股份,钢铁,757,2043,2.7,,,,56.7,0.78,5.67,0.01378,0.00123,0.001378
2020,山水水泥,水泥,209,3956,18.94,,,,,,,,,
2020,中国天瑞水泥,水泥,122,2348,19.29,,,,,,,,,
2020,亚洲水泥(中国),水泥,108,2095,19.36,,,,,,,,,
2020,祁连山,水泥,78,1668,21.36,,,,16.68,1.61,9.53,0.17,0.2641,0.1745
2020,冀东水泥,水泥,355,7434,20.95,,,,28.28,1.23,7.07,0.1734,0.2646,0.1788
2020,西部水泥,水泥,71,1430,20.06,,,,4.63,0.12,1.57,0.0737,0.1704,0.0754
2020,亚洲水泥(中国),水泥,108,2095,19.36,,,,13.79,0.56,5.1,0.1094,0.2874,0.1124
2020,中国天瑞水泥,水泥,122,2348,19.29,,,,3.07,0.11,2.23,0.0493,0.1808,0.0505
2020,山水水泥,水泥,209,3956,18.94,,,,14.37,0.38,3.04,0.1242,0.2147,0.1279
2020,塔牌集团,水泥,70,1328,18.84,,,,16.7,1.44,7.51,0.1925,0.3336,0.1976
2020,华新水泥,水泥,294,5467,18.62,,,,56.39,2.73,13.31,0.2053,0.3052,0.2112
2020,华润水泥控股,水泥,337,5961,17.67,,,,39.73,0.64,4.44,0.1443,0.2627,0.1482
2020,天山股份,水泥,87,1458,16.77,,,,25,0.77,4.6,0.1672,0.231,0.1713
2020,万年青,水泥,125,1521,12.14,,,,12.86,1.52,7.01,0.2179,0.2892,0.2242
2020,海螺水泥,水泥,1762,20280,11.51,,,,351.3,6.28,22.55,0.2788,0.3464,0.2856
2020,中国建材,水泥,2548,25476,10,,,,53.01,0.38,5.01,0.0767,0.1818,0.0792
2020,亚泰集团,水泥,195,1433,7.35,,,,-19.25,-0.46,4.25,-0.1081,0.131,-0.1113
2020,金隅集团,水泥,1080,7458,6.9,,,,28.2,0.22,4.59,0.0486,0.164,0.0501
2020,北新建材,水泥,168,841,5,,,,33.82,1.74,7.28,0.2434,0.3387,0.2505
2021,中国建材,水泥,2737,26596,9.72,,,,,,,,,
2022,中国建材,水泥,2737,26596,9.72,-,-,-,150,0.9,12,0.0125,0.0285,0.012
2022,天山股份,水泥,1700,21537,12.67,-,-,-,10,0.6,10,0.01,0.025,0.0098
2022,海螺水泥,水泥,1680,21114,12.57,-,-,-,150,2.8,20,0.014,0.035,0.0135
2022,金隅集团,水泥,1236,7272,5.88,-,-,-,50,0.5,9,0.0056,0.018,0.0055
2022,冀东水泥,水泥,363,6577,18.1,-,-,-,20,0.3,8,0.0025,0.022,0.0024
2022,华润水泥控股,水泥,365,5340,14.64,-,-,-,120,1.2,15,0.008,0.02,0.0078
2020,中国建材,水泥,2548,25476,10,95.51,,,216.45,1.488,,,,
2020,海螺水泥,水泥,1762,20280,11.51,,,,351.5,6.63,28.45,0.233,0.321,0.233
2020,金隅集团,水泥,1080,7458,6.9,,,,30,0.3,4,0.075,0.15,0.075
2020,冀东水泥,水泥,355,7434,20.95,,,,25,0.25,3.5,0.071,0.2,0.071
2020,华润水泥控股,水泥,337,5961,17.67,,,,80,0.8,6,0.133,0.25,0.133
2020,华新水泥,水泥,294,5467,18.62,,,,40,0.4,4.5,0.089,0.2,0.089
2020,祁连山,水泥,78,1668,21.36,,,,10,0.2,3,0.06,0.2,0.07
2020,万年青,水泥,125,1521,12.14,,,,10,1,6,0.16,0.3,0.18
2020,天山股份,水泥,87,1458,16.77,,,,15,0.3,4,0.07,0.25,0.08
2020,亚泰集团,水泥,195,1433,7.35,,,,2,0.05,2.5,0.02,0.15,0.03
2020,西部水泥,水泥,71,1430,20.06,,,,10,0.2,3,0.06,0.2,0.07
2020,塔牌集团,水泥,70,1328,18.84,,,,10,0.2,3,0.06,0.2,0.07
2020,北新建材,水泥,168,841,5,,,,20,0.4,5,0.08,0.25,0.09
2021,中国建材,水泥,2737,26596,9.72,,,,162.3,1.92,12.34,0.1556,0.1890,0.1556
2021,天山股份,水泥,1700,21537,12.67,,,,25.6,0.48,5.67,0.0845,0.2230,0.0845
2021,海螺水泥,水泥,1680,21114,12.57,,,,332.7,6.28,28.45,0.2210,0.3250,0.2210
2021,金隅集团,水泥,1236,7272,5.88,,,,25.6,0.23,4.56,0.0512,0.156,0.0512
2021,华润水泥控股,水泥,365,5340,14.64,,,,45.6,0.65,6.78,0.0956,0.289,0.0956
2021,华新水泥,水泥,325,4917,15.14,,,,56.7,1.23,8.9,0.1378,0.256,0.1378
2021,山水水泥,水泥,247,3804,15.43,,,,12.3,0.23,3.45,0.0678,0.189,0.0678
2021,中国天瑞水泥,水泥,127,2290,18.01,,,,15.6,0.23,3.45,0.0678,0.189,0.0678
2021,亚洲水泥(中国),水泥,118,2147,18.26,,,,25.6,0.45,4.56,0.0989,0.223,0.0989
2020,山西焦煤,煤炭,338,3026,8.97,,,,44.2,0.92,6.19,0.1486,0.2198,0.1534
2020,中煤能源,煤炭,1410,2931,2.08,,,,47.24,0.27,6.77,0.0403,0.2343,0.0411
2020,永泰能源,煤炭,221,2716,12.27,101.04,94.35,53.74,1.53,0.02,2.44,0.0081,0.2273,0.0082
2020,永泰能源,煤炭,221,2716,12.27,101.04,94.35,53.74,1.53,0.02,2.44,0.0081,0.2273,0.0082
2020,山西焦煤,煤炭,338,3026,8.97,,,,44.2,0.92,6.19,0.1486,0.2198,0.1534
2020,露天煤业,煤炭,201,1780,8.87,,,,16.81,0.81,6.06,0.1344,0.2785,0.138
2020,中国神华,煤炭,2333,13490,5.78,,,,391.7,1.98,14.9,0.1338,0.3242,0.1377
2020,伊泰煤炭,煤炭,325,1493,4.6,,,,47.84,1.83,10.14,0.179,0.3364,0.1844
2020,中煤能源,煤炭,1410,2931,2.08,,,,47.24,0.27,6.77,0.0403,0.2343,0.0411
2020,兖州煤业,煤炭,2150,1564,0.73,,,,77.96,1.31,8.51,0.1543,0.3273,0.1599
2022,中国神华,煤炭,3352,17665,5.27,-,-,-,696.26,3.5,25,0.0278,0.003,0.00275
2022,中煤能源,煤炭,2311,4585,1.26,,,,134.82,1.02,12,0.0085,0.0022,0.0008
2022,兖州煤业,煤炭,1519,4495,1.13,,,,225.5,4.8,20,0.024,0.0025,0.00235
2022,兰花科创,煤炭,114,4343,,,,,45,2.5,15,0.016,0.0028,0.00155
2022,开滦股份,煤炭,234,4264,,,,,30,1.8,12,0.015,0.002,0.00145
2022,华阳股份,煤炭,481,4144,,,,,30,1.5,10,0.015,0.0022,0.00145
2022,山西焦化,煤炭,216,4076,,,,,25,1.2,10,0.012,0.0018,0.00115
2022,山煤国际,煤炭,353,3966,,,,,49,2.4,12,0.02,0.0025,0.00195
2022,上海能源,煤炭,157,3844,,,,,15,1.5,10,0.015,0.002,0.00145
2022,大有能源,煤炭,125,3723,,,,,30,1.2,10,0.012,0.0018,0.00115
2022,红阳能源,煤炭,104,3674,,,,,10,0.5,8,0.0063,0.0014,0.0006
2022,郑州煤电,煤炭,67,3589,,,,,10,0.5,8,0.0063,0.0012,0.0006
2022,永泰能源,煤炭,280,3434,9.24,,,,15,0.3,8,0.0038,0.0012,0.00035
2022,云煤能源,煤炭,116,3284,,,,,5,0.5,8,0.0063,0.0012,0.0006
2020,中国神华,煤炭,2333,13490,5.78,282,265,150,392,1.97,12.5,0.157,0.3,0.157
2020,露天煤业,煤炭,201,1780,8.87,,,,30,0.6,6,0.1,0.25,0.12
2020,兖州煤业,煤炭,2150,1564,0.73,,,,60,1.2,8,0.15,0.25,0.15
2020,伊泰煤炭,煤炭,325,1493,4.6,,,,20,0.5,6,0.08,0.2,0.1
2021,中国神华,煤炭,3352,17665,5.27,3000,2850,1000,502.7,2.53,15.67,0.1612,0.356,0.1612
2021,伊泰煤炭,煤炭,507,1552,3.06,,,,65.3,2.1,12.34,0.1702,0.356,0.1702
2020,阜丰集团,化工,167,831,4.98,,,,,,,,,
2020,中国心连心化肥,化工,104,709,6.78,,,,8.54,0.36,3.23,0.1104,0.1975,0.1147
2020,中海石油化学,化工,104,674,6.47,,,,5.07,0.13,3.21,0.0404,0.1274,0.0415
2020,中国心连心化肥,化工,104,709,6.78,,,,8.54,0.36,3.23,0.1104,0.1975,0.1147
2020,中海石油化学,化工,104,674,6.47,,,,5.07,0.13,3.21,0.0404,0.1274,0.0415
2020,阜丰集团,化工,167,831,4.98,,,,5.96,0.14,2.44,0.0575,0.1576,0.059
2022,万华化学,化工,1655,5046,,,,,162.34,5.02,35,0.023,0.0026,0.00225
2022,柳化股份,化工,34,3875,,,,,2,0.1,6,0.0017,0.001,0.00015
2022,金瑞矿业,化工,11,3833,,,,,1,0.05,5,0.002,0.001,0.00018
2022,神马股份,化工,125,3785,,,,,20,1,12,0.0167,0.0022,0.0016
2022,亿利洁能,化工,143,3408,,,,,10,0.3,8,0.0038,0.0012,0.00035
2022,华鲁恒升,化工,264,3377,,,,,30,1.5,10,0.015,0.0022,0.00145
2022,巨化股份,化工,166,3278,,,,,20,1,12,0.0167,0.0022,0.0016
2022,六国化工,化工,76,3273,,,,,10,0.5,8,0.0063,0.0014,0.0006
2022年,云天化,化工,,1.21吨二氧化碳/万元,1.21,,,,,,,,,
2020,中国能源建设,建筑,2703,742,0.27,,,,61.02,0.18,2.74,0.0654,0.1367,0.0683
2020,中国铁建,建筑,9103,736,0.08,,,,223.92,1.56,12.47,0.1268,0.0975,0.1305
2020,中国中冶,建筑,4001,643,0.16,,,,78.69,0.32,4.07,0.0789,0.1717,0.0807
2020,中国能源建设,建筑,2703,742,0.27,,,,61.02,0.18,2.74,0.0654,0.1367,0.0683
2020,中国中冶,建筑,4001,643,0.16,,,,78.69,0.32,4.07,0.0789,0.1717,0.0807
2020,中国中铁,建筑,9714,1447,0.15,,,,251.89,0.63,6.4,0.0988,0.0986,0.1018
2020,中国建筑,建筑,16150,2000,0.12,,,,449.44,1.02,7.22,0.1413,0.1168,0.1454
2020,中国铁建,建筑,9103,736,0.08,,,,223.92,1.56,12.47,0.1268,0.0975,0.1305
2022,中国电建,建筑,1564,5295,,-,-,-,100,0.6,10,0.01,0.0015,0.00095
2022,中国中冶,建筑,4019,4724,,,,,101.33,0.48,10,0.0048,0.0012,0.00045
2022,中国建筑,建筑,16153,4246,0.12,,,,509.5,1.2,18,0.0139,0.001,0.00135
2022,精工钢构,建筑,135,3335,,,,,10,0.5,8,0.0063,0.0014,0.0006
2020,中国建筑,建筑,16150,2000,0.12,-,-,-,500,1.2,8,0.15,0.1,0.18
2020,中国中铁,建筑,9714,1447,0.15,,,,250,0.8,6,0.12,0.1,0.13
2021,中国中铁,建筑,10704,1588,0.15,,,,276.18,1.13,8.56,0.1321,0.0945,0.1321
2021,中国铁建,建筑,10200,933,0.09,,,,246.91,1.82,10.23,0.1780,0.0980,0.1780
2020,神火股份,有色,188,2181,11.6,,,,7.05,0.26,6.27,0.042,0.2155,0.0425
2020,神火股份,有色,188,2181,11.6,,,,7.05,0.26,6.27,0.042,0.2155,0.0425
2020,中国宏桥,有色,861,7611,8.84,,,,139.9,0.83,5.53,0.151,0.1702,0.1561
2020,中国铝业,有色,1860,8904,4.79,,,,20.2,0.15,3,0.0508,0.1392,0.0521
2022,中国铝业,有色,2697,8680,3.22,-,-,-,70,0.4,8,0.0088,0.001,0.00085
2022,中国宏桥,有色,1145,7810,6.82,-,-,-,100,1,12,0.0083,0.002,0.0008
2022,豫光金铅,有色,404,4033,,,,,5,0.3,8,0.0038,0.0014,0.00035
2022,南山铝业,有色,222,3954,,,,,32,0.8,10,0.008,0.0018,0.00075
2022,北方稀土,有色,333,3745,,,,,50,1.3,15,0.0087,0.002,0.00085
2022,中孚实业,有色,244,3355,,,,,20,1,12,0.0167,0.0022,0.0016
2020,中国铝业,有色,1860,8904,4.79,,,,20,0.1,3,0.033,0.1,0.033
2020,中国宏桥,有色,861,7611,8.84,,,,60,0.6,5,0.12,0.18,0.12
2021,中国铝业,有色,2697,8680,3.22,,,,50.3,0.28,3.45,0.00812,0.00102,0.000812
2021,中国宏桥,有色,1145,7810,6.82,,,,78.9,0.89,5.67,0.01567,0.00189,0.001567
2020,国泰航空,航空,395,759,1.92,,,,,,,,,
2020,海航控股,航空,294,619,2.1,,,,-640.03,-1.07,1.17,-0.9158,0.1053,-0.9397
2020,中国东航,航空,586,1395,2.38,,,,-118.35,-1.09,3.54,-0.3077,0.1144,-0.3168
2020,中国国航,航空,695,1504,2.16,,,,-144.09,-1.12,5.44,-0.2063,0.1262,-0.2122
2020,海航控股,航空,294,619,2.1,,,,-640.03,-1.07,1.17,-0.9158,0.1053,-0.9397
2020,南方航空,航空,926,1932,2.09,,,,-108.42,-0.81,5.12,-0.1582,0.1186,-0.1628
2020,国泰航空,航空,395,759,1.92,,,,,,,,,
2022,海南航空,航空,352,3979,,,,,-200,-1.2,5,-0.004,0.0005,-0.0035
