企业,年份,化石燃料活动水平,化石燃料排放因子,生产过程排放量,净购入电量,区域电网排放因子,净购入热力,供热排放因子,碳排放量
诺基亚-杭州,2024,柴油 130吨,3.15 (柴油),"1,600","170,000",0.72 (华东电网),3.2,0.11 (燃煤锅炉),"1,452,680"
德州仪器-苏州,2020,天然气 90万m³,2.75 (天然气),"1,200","150,000",0.72 (华东电网),3,0.07 (天然气锅炉),"1,543,250"
英飞凌-无锡,2021,柴油 160吨,3.15 (柴油),"1,800","190,000",0.72 (华东电网),4.2,0.11 (燃煤锅炉),"2,089,800"
恩智浦-成都,2022,天然气 110万m³,2.75 (天然气),"1,500","210,000",0.55 (西南电网),3.5,0.07 (天然气锅炉),"1,612,300"
ASML-上海,2023,柴油 220吨,3.15 (柴油),"2,500","280,000",0.72 (华东电网),5.5,0.11 (燃煤锅炉),"3,145,000"
美光科技-西安,2024,天然气 130万m³,2.75 (天然气),"2,200","250,000",0.82 (西北电网),4.5,0.07 (天然气锅炉),"2,312,500"
高通-深圳,2020,柴油 100吨,3.15 (柴油),"1,300","120,000",0.65 (南方电网),2.5,0.11 (燃煤锅炉),"1,334,500"
博通-南京,2021,天然气 75万m³,2.75 (天然气),950,"130,000",0.72 (华东电网),2.8,0.07 (天然气锅炉),"1,327,500"
意法半导体-合肥,2022,柴油 180吨,3.15 (柴油),"2,100","220,000",0.70 (华东电网),4,0.11 (燃煤锅炉),"2,103,400"
安森美-天津,2023,天然气 85万m³,2.75 (天然气),"1,100","160,000",0.85 (华北电网),3.2,0.07 (天然气锅炉),"1,452,680"
瑞萨电子-青岛,2024,柴油 140吨,3.15 (柴油),"1,700","180,000",0.85 (华北电网),3.8,0.11 (燃煤锅炉),"1,987,600"
联发科-厦门,2020,天然气 60万m³,2.75 (天然气),800,"95,000",0.72 (华东电网),1.8,0.07 (天然气锅炉),"1,124,300"
西部数据-武汉,2021,柴油 120吨,3.15 (柴油),"1,600","140,000",0.70 (华中电网),2.6,0.11 (燃煤锅炉),"1,573,200"
铠侠-大连,2022,天然气 95万m³,2.75 (天然气),"1,400","180,000",0.85 (华北电网),3.5,0.07 (天然气锅炉),"1,543,250"
SK海力士-无锡,2023,柴油 200吨,3.15 (柴油),"2,400","240,000",0.72 (华东电网),5,0.11 (燃煤锅炉),"3,027,800"
东芝-杭州,2024,天然气 70万m³,2.75 (天然气),950,"110,000",0.72 (华东电网),2.8,0.07 (天然气锅炉),"1,327,500"
索尼-广州,2020,柴油 150吨,3.15 (柴油),"1,800","170,000",0.65 (南方电网),3.5,0.11 (燃煤锅炉),"1,845,700"
松下-沈阳,2021,天然气 100万m³,2.75 (天然气),"1,300","160,000",0.82 (东北电网),3,0.07 (天然气锅炉),"1,356,750"
日月光-昆山,2022,柴油 170吨,3.15 (柴油),"2,000","200,000",0.72 (华东电网),4.2,0.11 (燃煤锅炉),"2,103,400"
京瓷-宁波,2023,天然气 55万m³,2.75 (天然气),750,"85,000",0.72 (华东电网),2.5,0.07 (天然气锅炉),"1,032,250"
富士通-重庆,2024,柴油 130吨,3.15 (柴油),"1,600","150,000",0.55 (西南电网),3.2,0.11 (燃煤锅炉),"1,452,680"
罗姆半导体-东莞,2020,天然气 80万m³,2.75 (天然气),"1,000","120,000",0.65 (南方电网),2.3,0.07 (天然气锅炉),"1,089,500"
安世半导体-珠海,2021,柴油 90吨,3.15 (柴油),"1,100","95,000",0.65 (南方电网),2,0.11 (燃煤锅炉),"912,150"
华虹半导体-深圳,2022,天然气 120万m³,2.75 (天然气),"1,500","210,000",0.65 (南方电网),4,0.07 (天然气锅炉),"1,612,300"
紫光展锐-长沙,2023,柴油 140吨,3.15 (柴油),"1,700","180,000",0.70 (华中电网),3.8,0.11 (燃煤锅炉),"1,987,600"
兆易创新-合肥,2024,天然气 65万m³,2.75 (天然气),850,"95,000",0.70 (华东电网),1.5,0.07 (天然气锅炉),"883,750"
中芯国际-天津,2020,柴油 200吨,3.15 (柴油),"2,500","240,000",0.85 (华北电网),5,0.11 (燃煤锅炉),"3,027,800"
台积电-南京,2021,天然气 150万m³,2.75 (天然气),"2,200","250,000",0.72 (华东电网),4.5,0.07 (天然气锅炉),"2,312,500"
京东方-福州,2022,柴油 180吨,3.15 (柴油),"2,100","220,000",0.72 (华东电网),4.8,0.11 (燃煤锅炉),"2,103,750"
TCL-惠州,2023,天然气 95万m³,2.75 (天然气),"1,400","180,000",0.65 (南方电网),3.5,0.07 (天然气锅炉),"1,543,250"
长电科技-江阴,2024,柴油 160吨,3.15 (柴油),"1,900","200,000",0.72 (华东电网),4.2,0.11 (燃煤锅炉),"2,089,800"
